frame,total,visibility,visibility_debug,index_count
0,0.23197,0.20730,0.01681,2955774.10000
60,0.27264,0.24391,0.02066,3390293.45000
120,0.16627,0.14165,0.01677,1763572.05000
180,0.10640,0.08640,0.01268,1334104.85000
240,0.10324,0.08367,0.01154,1563999.05000
300,0.07733,0.05880,0.01090,942806.45000
360,0.06205,0.04392,0.01075,651664.20000
420,0.05592,0.03819,0.01072,531526.60000
480,0.05072,0.03298,0.01075,335265.25000
540,0.05235,0.03459,0.01072,394504.35000
600,0.36958,0.33527,0.02434,4763095.10000
660,0.53028,0.49391,0.02714,7008309.50000
720,0.53190,0.49755,0.02616,6851715.25000
780,0.53090,0.49683,0.02471,6833477.10000
840,0.40311,0.38228,0.01240,7736553.50000
900,0.41367,0.39348,0.01206,7912527.20000
960,0.34502,0.32553,0.01198,6364935.35000
1020,0.28977,0.26758,0.01379,5390683.35000
1080,0.23682,0.21495,0.01427,4144249.10000
1140,0.14894,0.12997,0.01150,2469341.80000
1200,0.17210,0.15226,0.01181,2921893.50000
1260,0.09985,0.08166,0.01094,1600253.25000
1320,0.13022,0.11003,0.01091,1828604.05000
1380,0.29524,0.27499,0.01180,5316520.45000
1440,0.38815,0.36620,0.01236,7541994.90000
1500,0.45336,0.43332,0.01203,9143355.45000
1560,0.48289,0.46209,0.01258,10284076.30000
1620,0.48776,0.46732,0.01297,10793619.40000
1680,0.49825,0.47778,0.01294,11201993.95000
1740,0.49561,0.47550,0.01260,11196844.40000
1800,0.49906,0.47944,0.01206,11241036.30000
1860,0.50350,0.48362,0.01235,11241007.00000
1920,0.51224,0.49189,0.01274,11240943.40000
1980,0.47959,0.45976,0.01211,10257777.50000
2040,0.36141,0.34212,0.01152,7118236.70000
2100,0.26647,0.24505,0.01161,4779189.60000
2160,0.10706,0.08911,0.01084,1653801.50000
2220,0.03072,0.01307,0.01069,250198.20000
2280,0.02475,0.00667,0.01090,81778.25000
2340,0.02184,0.00326,0.01107,0.00000
2400,0.02165,0.00330,0.01107,0.00000
2460,0.02182,0.00326,0.01109,0.00000
