frame,total,visibility,visibility_debug,index_count
0,0.28560,0.26219,0.01497,3553381.35000
60,0.30342,0.27841,0.01684,3662944.30000
120,0.20080,0.17840,0.01434,2176008.00000
180,0.12173,0.10341,0.01125,1760027.75000
240,0.25674,0.23052,0.01664,2911562.30000
300,0.29647,0.27178,0.01727,3211259.30000
360,0.29445,0.26993,0.01712,3197534.35000
420,0.18235,0.16230,0.01287,2080022.75000
480,0.19525,0.17227,0.01340,2143202.10000
540,0.19204,0.17323,0.01155,2652802.15000
600,0.19986,0.18138,0.01131,2718203.40000
660,0.11168,0.09402,0.01072,1551084.95000
720,0.16987,0.15044,0.01120,2455791.85000
780,0.15432,0.13636,0.01080,2049572.45000
840,0.09186,0.07412,0.01074,904159.35000
900,0.19279,0.17415,0.01126,2916661.70000
960,0.23672,0.21727,0.01210,3578981.25000
1020,0.19049,0.17184,0.01154,2767377.40000
1080,0.16778,0.14952,0.01111,2271770.15000
1140,0.22194,0.20294,0.01174,2903832.20000
1200,0.19355,0.17529,0.01120,2424988.15000
1260,0.16246,0.14469,0.01078,2026572.10000
1320,0.17356,0.15477,0.01089,2301510.50000
1380,0.17679,0.15862,0.01094,2404923.35000
1440,0.20109,0.18090,0.01152,2983851.65000
1500,0.34376,0.32323,0.01316,5965339.50000
1560,0.38335,0.36249,0.01306,6425388.50000
1620,0.37463,0.35440,0.01287,6351675.30000
1680,0.24565,0.22672,0.01167,3853289.10000
1740,0.12342,0.10574,0.01073,1807302.25000
1800,0.12103,0.10294,0.01074,1503980.35000
1860,0.11739,0.09939,0.01075,1304820.90000
1920,0.11260,0.09469,0.01076,1271388.55000
1980,0.10282,0.08488,0.01072,1145896.95000
2040,0.09457,0.07668,0.01070,833803.50000
2100,0.09220,0.07436,0.01070,724541.55000
2160,0.08561,0.06782,0.01071,651558.70000
2220,0.07818,0.06049,0.01070,606690.35000
2280,0.05279,0.03535,0.01070,387407.30000
2340,0.16401,0.14529,0.01162,2264677.55000
2400,0.27286,0.25155,0.01310,3983123.90000
2460,0.28329,0.26302,0.01279,4233659.50000
2520,0.26521,0.24518,0.01261,3774183.40000
2580,0.24463,0.22607,0.01146,2738790.20000
2640,0.19717,0.17875,0.01112,2234217.40000
2700,0.15489,0.13694,0.01082,1876452.05000
2760,0.12730,0.10904,0.01076,1554160.70000
2820,0.12625,0.10817,0.01072,1444209.80000
2880,0.12381,0.10576,0.01078,1270269.50000
2940,0.10623,0.08831,0.01075,1185182.60000
3000,0.24333,0.22162,0.01241,3737532.35000
3060,0.32204,0.30104,0.01366,5419981.65000
3120,0.31592,0.29520,0.01342,5328916.45000
3180,0.30122,0.28052,0.01340,4942521.95000
3240,0.27830,0.25780,0.01299,4355188.50000
3300,0.25820,0.23807,0.01259,3918437.60000
3360,0.23418,0.21453,0.01247,3488605.15000
3420,0.21000,0.19077,0.01183,3070083.20000
3480,0.19896,0.18016,0.01148,2804740.95000
3540,0.18619,0.16797,0.01106,2554279.00000
3600,0.17699,0.15867,0.01099,2404749.20000
3660,0.16840,0.15035,0.01089,2364661.40000
3720,0.15453,0.13659,0.01087,2323845.85000
3780,0.14308,0.12520,0.01074,2171285.25000
3840,0.13587,0.11789,0.01079,2069926.10000
3900,0.11786,0.10002,0.01065,1706132.85000
3960,0.11124,0.09339,0.01068,1310622.90000
4020,0.10588,0.08799,0.01071,1119696.90000
4080,0.11307,0.09504,0.01075,958432.85000
4140,0.09531,0.07740,0.01071,891260.80000
4200,0.07590,0.05795,0.01068,795127.20000
4260,0.15325,0.13494,0.01110,2716290.05000
4320,0.43889,0.41781,0.01367,7242797.15000
4380,0.38163,0.36116,0.01313,6033148.00000
4440,0.06875,0.05104,0.01062,867288.75000
4500,0.07352,0.05575,0.01067,698827.95000
4560,0.06891,0.05130,0.01065,684012.30000
4620,0.07833,0.06035,0.01067,872447.40000
4680,0.15479,0.13448,0.01094,2415162.35000
4740,0.31761,0.29730,0.01278,5264990.15000
4800,0.43510,0.41359,0.01312,7605016.10000
4860,0.42061,0.40061,0.01264,7298187.05000
4920,0.42801,0.40780,0.01251,7437915.15000
4980,0.46396,0.44367,0.01289,8149009.90000
5040,0.35369,0.33350,0.01259,5907876.05000
5100,0.38573,0.36558,0.01280,6713387.25000
5160,0.48539,0.46448,0.01342,8461629.95000
5220,0.48825,0.46757,0.01328,8496360.00000
5280,0.48228,0.46202,0.01291,8448473.20000
5340,0.38323,0.36404,0.01180,6607069.85000
5400,0.06197,0.04384,0.01064,1056943.50000
5460,0.03098,0.01381,0.01071,344217.00000
