frame,total,visibility,visibility_debug,index_count
0,0.23264,0.20714,0.01676,2955774.10000
60,0.27366,0.24428,0.02090,3390293.45000
120,0.16653,0.14156,0.01695,1763572.05000
180,0.10657,0.08655,0.01269,1334104.85000
240,0.10303,0.08312,0.01165,1563999.05000
300,0.07704,0.05877,0.01099,942806.45000
360,0.06146,0.04363,0.01077,651664.20000
420,0.05573,0.03820,0.01074,531526.60000
480,0.05088,0.03312,0.01076,335265.25000
540,0.05234,0.03463,0.01075,394504.35000
600,0.36910,0.33495,0.02441,4763095.10000
660,0.53030,0.49410,0.02712,7008309.50000
720,0.53126,0.49726,0.02604,6851715.25000
780,0.53525,0.50226,0.02519,6833477.10000
840,0.40892,0.38887,0.01275,7736553.50000
900,0.41435,0.39414,0.01207,7912527.20000
960,0.34542,0.32587,0.01204,6364935.35000
1020,0.29037,0.26804,0.01381,5390683.35000
1080,0.23715,0.21533,0.01429,4144249.10000
1140,0.14955,0.13037,0.01153,2469341.80000
1200,0.17209,0.15240,0.01185,2921893.50000
1260,0.09991,0.08151,0.01097,1600253.25000
1320,0.12986,0.10964,0.01095,1828604.05000
1380,0.29501,0.27449,0.01185,5316520.45000
1440,0.38787,0.36613,0.01240,7541994.90000
1500,0.45254,0.43245,0.01211,9143355.45000
1560,0.48271,0.46187,0.01260,10284076.30000
1620,0.48800,0.46752,0.01297,10793619.40000
1680,0.49901,0.47855,0.01292,11201993.95000
1740,0.49586,0.47599,0.01261,11196844.40000
1800,0.49926,0.47983,0.01208,11241036.30000
1860,0.50430,0.48457,0.01235,11241007.00000
1920,0.51228,0.49193,0.01278,11240943.40000
1980,0.48008,0.46030,0.01222,10257777.50000
2040,0.36200,0.34257,0.01159,7118236.70000
2100,0.26632,0.24476,0.01169,4779189.60000
2160,0.10678,0.08889,0.01080,1653801.50000
2220,0.03065,0.01292,0.01068,250198.20000
2280,0.02489,0.00680,0.01090,81778.25000
2340,0.02235,0.00361,0.01114,0.00000
2400,0.02159,0.00321,0.01107,0.00000
2460,0.02152,0.00320,0.01113,0.00000
