frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
116,2745334,4298757,457177,3841580,9.402829,153,139330,2606004,1521942,4298757,1789011,0.706130
117,2745334,4301422,457232,3844190,9.407526,153,139369,2605965,1522611,4301422,1789022,0.706258
118,2745334,4304206,457332,3846874,9.411557,152,139330,2606004,1523537,4304206,1789942,0.706285
119,2745334,4306858,457422,3849436,9.415503,153,139374,2605960,1524528,4306858,1791254,0.706261
120,2745334,4309400,457531,3851869,9.418815,154,139206,2606128,1524966,4309400,1790464,0.706475
121,2745334,4311887,457624,3854263,9.422336,155,139246,2606088,1525695,4311887,1790893,0.706545
122,2745334,4313777,457720,3856057,9.424489,153,139020,2606314,1525663,4313777,1788875,0.706869
123,2745334,4316663,457798,3858865,9.429187,153,139340,2605994,1526934,4316663,1791073,0.706753
124,2745334,4319641,457861,3861780,9.434394,154,139355,2605979,1527374,4319641,1789855,0.707037
125,2745334,4322365,457929,3864436,9.438941,154,139271,2606063,1528313,4322365,1790887,0.707048
126,2745334,4325226,458002,3867224,9.443684,155,139457,2605877,1529108,4325226,1791206,0.707149
127,2745334,4327576,458048,3869528,9.447866,154,139345,2605989,1529642,4327576,1790992,0.707286
128,2745334,4330206,458116,3872090,9.452204,154,139348,2605986,1530332,4330206,1791122,0.707396
129,2745334,4333175,458230,3874945,9.456332,153,139522,2605812,1531738,4333175,1793777,0.707232
130,2745334,4335910,458279,3877631,9.461289,153,139505,2605829,1532250,4335910,1793090,0.707442
131,2745334,4338713,458324,3880389,9.466476,153,139406,2605928,1533557,4338713,1795515,0.707296
132,2745334,4341452,458398,3883054,9.470923,153,139404,2605930,1534327,4341452,1795856,0.707387
133,2745334,4344140,458439,3885701,9.475939,153,139368,2605966,1534717,4344140,1794728,0.707645
134,2745334,4346658,458489,3888169,9.480398,153,139463,2605871,1535290,4346658,1794502,0.707791
135,2745334,4349593,458575,3891018,9.485020,155,139409,2605925,1535925,4349593,1794107,0.707976
136,2745334,4352241,458711,3893530,9.487980,154,139480,2605854,1536547,4352241,1793947,0.708120
137,2745334,4354904,458808,3896096,9.491779,154,139491,2605843,1537127,4354904,1793604,0.708286
138,2745334,4357659,458879,3898780,9.496314,153,139543,2605791,1538138,4357659,1794893,0.708269
139,2745334,4360938,458966,3901972,9.501658,154,139619,2605715,1539253,4360938,1796074,0.708288
140,2745334,4364212,459079,3905133,9.506451,154,139803,2605531,1540633,4364212,1798320,0.708185
141,2745334,4367183,459165,3908018,9.511141,154,139615,2605719,1541073,4367183,1797109,0.708465
142,2745334,4370470,459231,3911239,9.516932,154,139819,2605515,1542506,4370470,1799554,0.708339
143,2745334,4373630,459294,3914336,9.522506,154,139915,2605419,1543666,4373630,1801034,0.708319
144,2745334,4376899,459368,3917531,9.528089,154,139888,2605446,1544713,4376899,1801953,0.708368
145,2745334,4379956,459437,3920519,9.533311,152,139916,2605418,1545431,4379956,1801768,0.708533
146,2745334,4382773,459552,3923221,9.537056,152,140096,2605238,1546466,4382773,1803091,0.708514
147,2745334,4385431,459666,3925765,9.540473,153,140024,2605310,1546917,4385431,1802237,0.708737
148,2745334,4388176,459802,3928374,9.543621,152,140033,2605301,1547464,4388176,1801680,0.708930
149,2745334,4390818,459954,3930864,9.546211,153,140041,2605293,1547900,4390818,1800782,0.709157
150,2745334,4394258,460061,3934197,9.551468,154,139976,2605358,1548929,4394258,1801458,0.709241
151,2745334,4534314,468401,4065913,9.680411,154,140937,2604397,1589658,4534314,1824318,0.713096
152,2745334,4786298,566793,4219505,8.444526,155,141856,2603478,1660404,4786298,1855318,0.720653
153,2746100,5238842,900979,4337863,5.814611,153,142940,2603160,1780928,5238842,1884870,0.735409
154,2746100,5383119,921330,4461789,5.842770,156,144296,2601804,1822351,5383119,1906285,0.738485
155,2746100,5521854,921406,4600448,5.992857,156,145879,2600221,1864860,5521854,1937586,0.740250
156,2746100,5647059,921485,4725574,6.128216,153,147315,2598785,1902097,5647059,1961329,0.742215
157,2746100,5765164,921599,4843565,6.255610,155,148863,2597237,1938729,5765164,1989752,0.743421
158,2746100,5883789,921600,4962189,6.384320,154,150391,2595709,1976827,5883789,2023519,0.744095
159,2746288,5995921,921600,5074321,6.505991,153,151727,2594561,2012260,5995921,2053119,0.744924
160,2773146,6072442,921600,5150842,6.589021,150,153501,2619645,2038861,6072442,2083002,0.744588
161,2773146,6129597,921600,5207997,6.651038,153,154891,2618255,2060235,6129597,2111343,0.743798
162,2773146,6173699,921600,5252099,6.698892,148,156109,2617037,2076595,6173699,2132681,0.743248
