source_file,run_id,result_id,frame,total,forward,index_count,depth_prepass,geometry,lighting,visibility,resolve,gbuffer
run_00000.csv_0_result.csv,00000,0,0,0.17835,0.17402,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,10,0.17972,0.17556,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,20,0.18993,0.18578,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,30,0.18304,0.17895,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,40,0.18816,0.18418,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,50,0.21640,0.21236,7620873.90000,,,,,,
run_00000.csv_0_result.csv,00000,0,60,0.23344,0.22931,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,70,0.23314,0.22864,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,80,0.23237,0.22825,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,90,0.23184,0.22731,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,100,0.24051,0.23637,7778540.10000,,,,,,
run_00000.csv_0_result.csv,00000,0,110,0.20569,0.20128,6388359.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,120,0.20292,0.19871,6388359.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,130,0.19852,0.19459,6328608.30000,,,,,,
run_00000.csv_0_result.csv,00000,0,140,0.20056,0.19641,6278724.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,150,0.19833,0.19426,6278724.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,160,0.19912,0.19514,6344505.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,170,0.20349,0.19914,6548192.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,180,0.20457,0.20044,6654137.70000,,,,,,
run_00000.csv_0_result.csv,00000,0,190,0.20511,0.20066,6649594.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,200,0.20609,0.20039,6279649.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,210,0.20870,0.20484,6153959.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,220,0.20118,0.19725,5654925.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,230,0.19492,0.19089,5715609.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,240,0.21635,0.21229,6556806.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,250,0.21050,0.20602,6632634.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,260,0.21100,0.20666,6632607.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,270,0.21540,0.21139,6632600.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,280,0.21735,0.21300,6632592.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,290,0.21410,0.20988,6632589.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,300,0.20978,0.20575,6086332.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,310,0.20464,0.20058,5774538.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,320,0.20511,0.20092,5711706.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,330,0.20545,0.20136,5522449.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,340,0.20150,0.19711,5438616.30000,,,,,,
run_00000.csv_0_result.csv,00000,0,350,0.19426,0.19032,5419182.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,360,0.18920,0.18503,5369350.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,370,0.17981,0.17575,4967546.10000,,,,,,
run_00000.csv_0_result.csv,00000,0,380,0.17250,0.16862,4898302.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,390,0.16822,0.16417,4809108.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,400,0.17296,0.16889,4843965.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,410,0.17307,0.16910,4857206.70000,,,,,,
run_00000.csv_0_result.csv,00000,0,420,0.17668,0.17251,4924218.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,430,0.17068,0.16667,4921590.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,440,0.15825,0.15419,4919838.00000,,,,,,
