frame,total,visibility,gbuffer,lighting,tonemap,index_count
940,3.97680,0.47674,2.89920,0.36078,0.07661,7472485.20000
950,4.14299,0.47167,2.83934,0.36428,0.07715,7479321.60000
960,3.82024,0.48600,2.62663,0.36356,0.07599,7513692.60000
970,3.36319,0.47199,2.21556,0.36371,0.07500,7224937.80000
980,2.95918,0.42130,1.84391,0.36305,0.07359,6451338.30000
990,2.49275,0.41183,1.43867,0.43437,0.06817,6161764.20000
1000,2.53164,0.38762,1.38976,0.66442,0.06929,5635455.90000
1010,2.52724,0.35756,1.56476,0.48706,0.06199,5202423.30000
1020,2.59432,0.34488,1.64902,0.35932,0.06157,5064487.20000
1030,2.64368,0.33476,1.66216,0.38128,0.06203,4854207.60000
1040,2.79954,0.33422,1.71988,0.36119,0.06210,4813812.60000
1050,3.01202,0.32652,1.87148,0.36242,0.06268,5117389.20000
1060,3.07765,0.36068,2.01147,0.36148,0.06305,5842354.50000
1070,3.53353,0.41258,2.38546,0.36014,0.06348,6651849.00000
1080,3.30030,0.37924,2.31532,0.35953,0.06324,5608637.70000
1090,2.71990,0.30406,1.81406,0.36039,0.06295,4262394.00000
1100,2.93065,0.29062,1.90638,0.36222,0.06434,4041469.80000
1110,2.66221,0.27525,1.61543,0.57842,0.06538,3829725.00000
1120,2.11022,0.27046,1.30414,0.43070,0.06681,3625378.80000
1130,1.77327,0.25787,1.08198,0.35864,0.06275,3497889.30000
1140,1.66982,0.19361,1.04546,0.35708,0.06151,2350612.80000
1150,1.67190,0.14001,1.09838,0.35715,0.06250,1301457.60000
1160,1.92183,0.16342,1.25856,0.41224,0.06417,1975792.50000
1170,2.69863,0.23079,1.69945,0.48725,0.06270,3156324.60000
1180,2.44565,0.23072,1.58901,0.53404,0.06614,3050540.40000
1190,2.20268,0.22306,1.44380,0.41194,0.06560,2981322.90000
1200,2.33004,0.22217,1.44494,0.49065,0.06771,2914107.30000
1210,2.35942,0.21792,1.57613,0.48351,0.06565,2838095.10000
1220,2.40102,0.20478,1.46819,0.64233,0.07080,2404130.40000
1230,2.10285,0.21317,1.31238,0.35681,0.06324,2756329.80000
1240,1.58467,0.24984,0.90343,0.35634,0.06173,3243857.10000
1250,1.72436,0.25213,1.03969,0.35613,0.06155,3374841.30000
1260,1.95034,0.22056,1.27264,0.35683,0.06261,2758986.60000
1270,1.62540,0.17712,1.01598,0.35591,0.06208,1980257.70000
1280,1.18369,0.16838,0.58214,0.35730,0.06150,1437031.50000
1290,0.76324,0.13569,0.20134,0.35115,0.06101,1166351.70000
1300,0.85922,0.11920,0.30898,0.35532,0.06249,1037250.60000
1310,0.75599,0.12768,0.20199,0.35132,0.06097,1221641.40000
1320,0.77593,0.10168,0.24661,0.35279,0.06126,759526.20000
1330,0.71602,0.10096,0.19206,0.34942,0.06094,430540.20000
