window_index,window_start_frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
31,1920,3747002.333333,1358859.283333,449791.716667,909067.566667,3.016140,15.816667,189903.350000,3557098.983333,574109.900000,1358859.283333,937580.316667,0.591246
32,1980,3746981.133333,2039523.633333,618739.350000,1420784.283333,3.287181,16.783333,255592.200000,3491388.933333,830358.766667,2039523.633333,1281911.433333,0.613144
33,2040,3419259.166667,2727587.800000,700970.000000,2026617.800000,3.890554,22.500000,322762.183333,3096496.983333,1106644.050000,2727587.800000,1698988.400000,0.615997
34,2100,2372745.566667,2934916.383333,735169.683333,2199746.700000,3.989402,20.766667,267963.833333,2104781.733333,1138212.733333,2934916.383333,1617934.550000,0.648128
35,2160,1593063.200000,3288647.883333,857031.383333,2431616.500000,3.820158,17.300000,162480.683333,1430582.516667,1146218.600000,3288647.883333,1296226.516667,0.717163
36,2220,551267.166667,1751041.250000,592811.833333,1158229.416667,2.954042,19.600000,37405.033333,513862.133333,575807.750000,1751041.250000,552189.750000,0.757780
37,2280,83399.400000,59664.083333,18404.233333,41259.850000,1.727356,3.883333,615.033333,82784.366667,20496.033333,59664.083333,22320.050000,0.465057
38,2340,27259.416667,18873.233333,11143.166667,7730.066667,0.585487,1.750000,334.650000,26924.766667,6284.700000,18873.233333,6265.566667,0.286703
39,2400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,2460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,2520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
