frame,total,visibility,gbuffer,lighting,tonemap,index_count
940,4.02801,0.51565,3.06251,0.35843,0.07536,7472485.20000
950,4.10341,0.51491,3.13774,0.36014,0.07553,7479321.60000
960,3.83270,0.51975,2.85972,0.36158,0.07422,7513692.60000
970,3.43652,0.49500,2.49521,0.36130,0.07400,7224937.80000
980,3.06385,0.44897,2.07610,0.36226,0.07281,6451338.30000
990,2.53159,0.43560,1.45388,0.45773,0.06457,6161764.20000
1000,2.47485,0.41330,1.38746,0.60187,0.06561,5635455.90000
1010,2.57502,0.38641,1.56254,0.47768,0.06155,5202423.30000
1020,2.67052,0.37031,1.65800,0.35916,0.06215,5064487.20000
1030,2.70896,0.35392,1.65029,0.36088,0.06215,4854207.60000
1040,2.72432,0.36126,1.72547,0.35893,0.06243,4813812.60000
1050,2.93717,0.36171,1.86934,0.36154,0.06334,5117389.20000
1060,3.06967,0.40248,2.15613,0.35901,0.06286,5842354.50000
1070,3.49872,0.45216,2.61057,0.35823,0.06342,6651849.00000
1080,3.32727,0.41135,2.47078,0.35714,0.06344,5608637.70000
1090,2.83518,0.33346,1.81783,0.36106,0.06311,4262394.00000
1100,2.88112,0.33340,1.96548,0.35983,0.06418,4041469.80000
1110,2.61636,0.31506,1.64829,0.42176,0.06417,3829725.00000
1120,2.22999,0.29626,1.32279,0.41620,0.06728,3625378.80000
1130,1.79600,0.28367,1.08003,0.35703,0.06258,3497889.30000
1140,1.68274,0.21608,1.03750,0.35484,0.06175,2350612.80000
1150,1.67554,0.15274,1.09020,0.35539,0.06185,1301457.60000
1160,1.97028,0.17788,1.25861,0.44694,0.06389,1975792.50000
1170,2.55245,0.25643,1.68798,0.44781,0.06254,3156324.60000
1180,2.48215,0.24737,1.60118,0.54478,0.06601,3050540.40000
1190,2.32593,0.24177,1.45750,0.50124,0.06955,2981322.90000
1200,2.33927,0.24564,1.47702,0.51405,0.06700,2914107.30000
1210,2.49153,0.23478,1.58715,0.59074,0.06764,2838095.10000
1220,2.40700,0.21100,1.46492,0.60947,0.07219,2404130.40000
1230,2.07866,0.23225,1.30948,0.39470,0.06618,2756329.80000
1240,1.59438,0.25642,0.90865,0.35338,0.06214,3243857.10000
1250,1.80080,0.26420,1.03314,0.41355,0.06309,3374841.30000
1260,1.99387,0.23162,1.28305,0.35528,0.06433,2758986.60000
1270,1.64318,0.18880,1.02460,0.35512,0.06194,1980257.70000
1280,1.18623,0.17302,0.58097,0.35663,0.06118,1437031.50000
1290,0.77329,0.14427,0.20449,0.35003,0.06103,1166351.70000
1300,0.87856,0.12378,0.32643,0.35388,0.06240,1037250.60000
1310,0.76221,0.13364,0.20532,0.34787,0.06074,1221641.40000
1320,0.78632,0.10460,0.25742,0.34975,0.06063,759526.20000
1330,0.71178,0.10154,0.19039,0.34694,0.05975,430540.20000
1340,0.63897,0.11439,0.11343,0.33894,0.05911,694622.10000
1350,1.01300,0.17207,0.41402,0.35228,0.06064,1566384.90000
1360,1.52415,0.25496,0.84181,0.35204,0.06110,2940508.80000
1370,2.37370,0.37076,1.28628,0.57226,0.06980,4580042.10000
1380,2.42808,0.40179,1.40318,0.43424,0.06448,5117127.00000
1390,2.93504,0.40569,1.82992,0.36203,0.06636,5701572.00000
1400,3.25990,0.43386,2.29022,0.36228,0.07307,6038218.80000
1410,2.97857,0.32940,1.95435,0.35761,0.06851,4462831.50000
1420,2.69732,0.29872,1.78869,0.42153,0.06087,4482807.90000
1430,3.52932,0.40948,2.65941,0.35358,0.06750,6096565.50000
1440,3.77150,0.42814,2.91188,0.35270,0.06596,6378838.20000
1450,3.97497,0.45016,3.08953,0.35272,0.06637,6844768.20000
1460,4.21822,0.49866,3.28155,0.35322,0.06777,7461451.50000
1470,4.28918,0.51592,3.32678,0.35430,0.06788,7820832.30000
1480,4.41709,0.51723,3.40780,0.35381,0.06884,8167075.80000
1490,4.48757,0.52137,3.53035,0.35272,0.06928,8579003.40000
1500,4.60388,0.54204,3.62496,0.35270,0.06950,8897062.20000
1510,4.41506,0.55598,3.41986,0.35252,0.06932,9153365.10000
1520,4.35268,0.56530,3.34706,0.35368,0.06890,9295424.70000
1530,4.02005,0.54920,3.03714,0.34933,0.06433,9095182.20000
1540,3.76164,0.53496,2.78268,0.34654,0.06036,9066057.60000
1550,3.72053,0.55038,2.74313,0.34733,0.06018,9353040.90000
1560,3.55948,0.57601,2.55866,0.34711,0.06039,9720191.10000
1570,3.53462,0.58533,2.51935,0.34906,0.06099,9982925.40000
1580,3.40322,0.59271,2.36130,0.35113,0.06161,10171514.40000
1590,3.35863,0.60332,2.32010,0.35201,0.06248,10457815.80000
1600,3.23850,0.61476,2.19225,0.35192,0.06274,10653773.10000
1610,3.16102,0.62388,2.07976,0.35228,0.06153,10718238.00000
1620,3.10966,0.61195,2.04325,0.35153,0.06107,10718247.00000
1630,3.11249,0.61144,2.07524,0.34829,0.05956,10720095.00000
1640,3.22414,0.60540,2.17098,0.34643,0.05823,10736792.40000
1650,3.19915,0.61167,2.16930,0.34391,0.05779,10788409.20000
1660,3.29915,0.61284,2.26912,0.34291,0.05702,10885447.80000
1670,3.32736,0.60944,2.30012,0.34281,0.05762,10912725.00000
1680,3.39286,0.61706,2.35685,0.34139,0.05841,11006847.30000
1690,3.51894,0.62216,2.47843,0.34075,0.05806,11241010.80000
1700,3.43116,0.62363,2.39320,0.33950,0.05677,11241018.60000
1710,3.49858,0.62130,2.46620,0.33814,0.05550,11241024.00000
1720,3.46636,0.61716,2.44059,0.33822,0.05430,11241025.80000
1730,3.37772,0.61444,2.35472,0.33821,0.05283,11241037.20000
1740,3.27140,0.60943,2.25424,0.33776,0.05155,11159436.00000
1750,3.17813,0.60032,2.17260,0.33666,0.05165,11057419.80000
1760,3.09787,0.60782,2.09022,0.33304,0.04981,11241048.60000
1770,3.11496,0.60981,2.10422,0.33298,0.04897,11241054.00000
1780,3.06608,0.61341,2.05414,0.33224,0.04745,11241054.00000
1790,3.11762,0.61134,2.08797,0.33220,0.04842,11241054.00000
1800,2.99493,0.60466,1.99691,0.33033,0.04625,11241054.00000
1810,3.14810,0.60562,2.14623,0.33278,0.04700,11241049.80000
1820,3.04314,0.60678,2.04086,0.33188,0.04558,11241039.60000
1830,3.03269,0.60682,2.00979,0.33093,0.04649,11241032.40000
1840,2.94018,0.60568,1.93949,0.33223,0.04593,11241024.00000
1850,3.02511,0.60960,2.01562,0.33485,0.04740,11241018.00000
1860,2.96305,0.61363,1.95264,0.33330,0.04777,11241019.80000
1870,3.08972,0.61484,2.07079,0.33608,0.04912,11241019.80000
1880,3.16812,0.61468,2.14549,0.33893,0.05001,11241012.60000
1890,3.11110,0.61830,2.08864,0.33473,0.05129,11241004.80000
1900,3.18552,0.62292,2.15548,0.33639,0.05298,11240997.00000
1910,3.30041,0.61682,2.26203,0.33742,0.05385,11240988.00000
1920,3.31522,0.62558,2.27751,0.33814,0.05490,11240979.60000
1930,3.44809,0.62784,2.38621,0.34004,0.05606,11240965.20000
1940,3.44906,0.62796,2.40236,0.34204,0.05715,11240951.40000
1950,3.42949,0.63265,2.37561,0.34367,0.05888,11240937.00000
1960,3.58579,0.63390,2.52422,0.34698,0.06046,11240920.80000
1970,3.42463,0.64054,2.35535,0.35028,0.06228,11240906.40000
1980,3.47828,0.64772,2.38891,0.35146,0.06320,11048367.60000
1990,3.44094,0.60295,2.39807,0.34989,0.05886,10373694.60000
2000,3.37569,0.59164,2.36149,0.34750,0.05746,10223550.60000
2010,3.15083,0.59534,2.13287,0.34833,0.05825,10177897.20000
2020,3.26058,0.59189,2.23988,0.35088,0.05966,10158671.40000
2030,3.24644,0.57074,2.24283,0.35132,0.06022,9564483.60000
2040,3.22296,0.52494,2.27098,0.34990,0.05860,8650854.90000
2050,3.12995,0.49846,2.20372,0.34956,0.05892,8318451.60000
2060,3.38146,0.51952,2.42276,0.35342,0.06394,8665887.00000
2070,3.51229,0.50257,2.57013,0.35740,0.06824,7881299.40000
2080,3.02164,0.35852,1.85980,0.35822,0.06235,5397019.20000
2090,2.60679,0.26124,1.48140,0.77300,0.06904,3795908.10000
2100,2.41430,0.22709,1.35184,0.48816,0.11730,3118903.80000
2110,2.63307,0.25778,1.46139,0.69492,0.07906,3664485.60000
2120,3.00515,0.35152,1.76579,0.36800,0.07738,5019081.60000
2130,3.07385,0.36975,1.94006,0.36799,0.08041,5231196.00000
2140,3.50858,0.38397,2.66386,0.36378,0.07938,5636161.80000
2150,3.74777,0.40278,2.89038,0.36162,0.07581,6005308.80000
2160,2.73222,0.31466,1.71244,0.39400,0.07272,4074952.50000
2170,1.49890,0.15745,0.92040,0.34868,0.05868,1575881.40000
2180,1.23057,0.16174,0.64260,0.35055,0.06204,1637140.20000
2190,1.02082,0.15682,0.43600,0.34922,0.06458,1388206.80000
2200,0.73519,0.09987,0.23500,0.33458,0.05258,724267.50000
2210,0.54804,0.05844,0.11899,0.31715,0.04202,522360.60000
2220,0.55894,0.03682,0.15524,0.31485,0.03874,359120.40000
2230,0.47149,0.02519,0.08240,0.31127,0.04048,318315.00000
2240,0.42386,0.01988,0.03796,0.31153,0.04207,235974.30000
2250,0.39211,0.01083,0.02063,0.31246,0.03588,40580.10000
2260,0.42105,0.01303,0.04394,0.31230,0.03829,142475.40000
2270,0.52223,0.02872,0.13393,0.31259,0.03401,404724.00000
2280,0.49632,0.02405,0.11159,0.31260,0.03576,264973.50000
2290,0.46505,0.01968,0.07947,0.31210,0.04146,205083.00000
2300,0.39656,0.00766,0.02747,0.31236,0.03575,20613.00000
2310,0.38220,0.00545,0.01758,0.31238,0.03351,0.00000
2320,0.38270,0.00546,0.01762,0.31283,0.03378,0.00000
2330,0.38209,0.00545,0.01760,0.31261,0.03322,0.00000
2340,0.38240,0.00545,0.01760,0.31262,0.03361,0.00000
2350,0.38187,0.00544,0.01757,0.31240,0.03319,0.00000
2360,0.38180,0.00545,0.01760,0.31249,0.03316,0.00000
2370,0.38322,0.00544,0.01762,0.31270,0.03439,0.00000
2380,0.38150,0.00546,0.01758,0.31237,0.03309,0.00000
2390,0.38147,0.00544,0.01757,0.31224,0.03320,0.00000
2400,0.38292,0.00544,0.01762,0.31216,0.03441,0.00000
2410,0.38134,0.00544,0.01759,0.31222,0.03288,0.00000
2420,0.38204,0.00544,0.01760,0.31241,0.03348,0.00000
2430,0.38326,0.00544,0.01762,0.31233,0.03496,0.00000
2440,0.38164,0.00544,0.01760,0.31262,0.03297,0.00000
2450,0.38296,0.00545,0.01761,0.31248,0.03441,0.00000
2460,0.38093,0.00543,0.01757,0.31216,0.03274,0.00000
2470,0.38685,0.00550,0.01770,0.31254,0.03774,0.00000
2480,0.38260,0.00545,0.01764,0.31230,0.03384,0.00000
2490,0.38188,0.00546,0.01762,0.31225,0.03329,0.00000
