frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,2.03072,0.10757,1.71804,0.12678,0.05344,2955774.10000
60,1.40280,0.08275,1.16931,0.09912,0.03819,3390293.45000
120,1.31697,0.05115,1.11018,0.09924,0.03829,1763572.05000
180,1.16414,0.05172,0.95815,0.09998,0.03789,1334104.85000
240,0.98724,0.05012,0.78356,0.10136,0.03764,1563999.05000
300,0.84027,0.04210,0.64448,0.09919,0.03757,942806.45000
360,1.24192,0.03716,1.04286,0.10146,0.03814,651664.20000
420,1.28785,0.03123,1.09721,0.10238,0.03810,531526.60000
480,1.08080,0.02125,0.90617,0.10203,0.03744,335265.25000
540,0.98102,0.02522,0.80570,0.09522,0.03790,394504.35000
